Week,Git,Subversion,Perforce
2005-04-02,20,81,10
2005-04-09,26,71,11
2005-04-16,38,79,10
2005-04-23,30,72,12
2005-04-30,27,79,14
2005-05-07,25,88,13
2005-05-14,22,82,17
2005-05-21,23,94,11
2005-05-28,24,92,16
2005-06-04,19,94,12
2005-06-11,21,92,13
2005-06-18,26,90,13
2005-06-25,20,89,14
2005-07-02,21,90,14
2005-07-09,20,90,17
2005-07-16,20,85,13
2005-07-23,21,94,10
2005-07-30,20,89,17
2005-08-06,23,82,13
2005-08-13,24,80,16
2005-08-20,22,83,12
2005-08-27,22,86,14
2005-09-03,20,80,13
2005-09-10,20,82,15
2005-09-17,23,85,11
2005-09-24,22,78,13
2005-10-01,23,84,14
2005-10-08,23,83,12
2005-10-15,24,84,14
2005-10-22,26,92,12
2005-10-29,27,93,12
2005-11-05,26,85,12
2005-11-12,24,90,14
2005-11-19,22,79,9
2005-11-26,22,86,9
2005-12-03,28,84,13
2005-12-10,23,84,12
2005-12-17,23,73,12
2005-12-24,26,59,8
2005-12-31,26,76,12
2006-01-07,25,82,12
2006-01-14,23,92,12
2006-01-21,23,84,11
2006-01-28,23,91,13
2006-02-04,26,87,11
2006-02-11,24,92,10
2006-02-18,24,89,11
2006-02-25,25,91,11
2006-03-04,26,90,12
2006-03-11,27,93,12
2006-03-18,29,90,13
2006-03-25,25,87,12
2006-04-01,30,88,12
2006-04-08,27,89,13
2006-04-15,27,89,11
2006-04-22,26,90,13
2006-04-29,26,79,10
2006-05-06,30,84,12
2006-05-13,29,88,13
2006-05-20,24,85,12
2006-05-27,29,88,12
2006-06-03,25,91,12
2006-06-10,31,95,12
2006-06-17,37,90,10
2006-06-24,34,96,12
2006-07-01,34,90,12
2006-07-08,32,96,14
2006-07-15,28,88,13
2006-07-22,29,95,12
2006-07-29,30,96,14
2006-08-05,27,96,14
2006-08-12,27,83,13
2006-08-19,26,91,13
2006-08-26,28,88,12
2006-09-02,29,95,13
2006-09-09,27,96,14
2006-09-16,30,95,12
2006-09-23,27,100,14
2006-09-30,29,94,13
2006-10-07,28,98,12
2006-10-14,28,96,11
2006-10-21,28,94,11
2006-10-28,27,97,13
2006-11-04,30,98,12
2006-11-11,30,98,13
2006-11-18,34,88,10
2006-11-25,29,90,11
2006-12-02,31,89,10
2006-12-09,31,86,12
2006-12-16,29,83,9
2006-12-23,31,58,5
2006-12-30,30,73,9
2007-01-06,29,85,12
2007-01-13,28,89,12
2007-01-20,29,93,12
2007-01-27,28,88,13
2007-02-03,29,91,12
2007-02-10,30,85,11
2007-02-17,30,88,13
2007-02-24,30,89,12
2007-03-03,28,85,10
2007-03-10,31,90,12
2007-03-17,33,84,11
2007-03-24,31,86,11
2007-03-31,29,86,12
2007-04-07,29,81,12
2007-04-14,32,85,10
2007-04-21,29,87,11
2007-04-28,28,69,12
2007-05-05,30,82,13
2007-05-12,34,85,12
2007-05-19,31,83,10
2007-05-26,34,79,9
2007-06-02,54,84,13
2007-06-09,35,84,13
2007-06-16,36,81,11
2007-06-23,35,80,12
2007-06-30,36,83,12
2007-07-07,36,82,11
2007-07-14,38,80,12
2007-07-21,38,81,12
2007-07-28,38,80,12
2007-08-04,36,78,11
2007-08-11,34,78,11
2007-08-18,49,78,12
2007-08-25,36,80,11
2007-09-01,40,76,9
2007-09-08,39,75,9
2007-09-15,36,79,12
2007-09-22,40,76,10
2007-09-29,42,80,10
2007-10-06,44,78,11
2007-10-13,42,83,9
2007-10-20,39,79,10
2007-10-27,45,78,10
2007-11-03,42,75,12
2007-11-10,40,76,11
2007-11-17,40,70,9
2007-11-24,41,70,10
2007-12-01,43,74,11
2007-12-08,41,71,11
2007-12-15,41,69,10
2007-12-22,39,46,5
2007-12-29,39,50,7
2008-01-05,39,63.375,8.53125
2008-01-12,41.4375,64.59375,9.75
2008-01-19,37.78125,65.8125,8.53125
2008-01-26,42.65625,63.375,9.75
2008-02-02,43.875,64.59375,10.96875
2008-02-09,40.21875,64.59375,9.75
2008-02-16,40.21875,64.59375,8.53125
2008-02-23,41.4375,65.8125,9.75
2008-03-01,42.65625,63.375,9.75
2008-03-08,45.09375,63.375,10.96875
2008-03-15,45.09375,63.375,9.75
2008-03-22,43.875,60.9375,9.75
2008-03-29,46.3125,65.8125,9.75
2008-04-05,51.1875,65.8125,9.75
2008-04-12,53.625,64.59375,8.53125
2008-04-19,47.53125,67.03125,9.75
2008-04-26,48.75,56.0625,8.53125
2008-05-03,52.40625,56.0625,9.75
2008-05-10,48.75,58.5,9.75
2008-05-17,52.40625,58.5,9.75
2008-05-24,53.625,58.5,8.53125
2008-05-31,51.1875,60.9375,8.53125
2008-06-07,52.40625,63.375,9.75
2008-06-14,58.5,64.59375,9.75
2008-06-21,53.625,67.03125,8.53125
2008-06-28,49.96875,70.6875,10.96875
2008-07-05,53.625,67.03125,10.96875
2008-07-12,49.96875,64.59375,9.75
2008-07-19,51.1875,60.9375,9.75
2008-07-26,52.40625,63.375,9.75
2008-08-02,56.0625,64.59375,8.53125
2008-08-09,53.625,60.9375,9.75
2008-08-16,53.625,60.9375,9.75
2008-08-23,52.40625,57.28125,8.53125
2008-08-30,51.1875,58.5,10.96875
2008-09-06,52.40625,62.15625,9.75
2008-09-13,51.1875,58.5,8.53125
2008-09-20,54.84375,58.5,7.3125
2008-09-27,49.96875,57.28125,8.53125
2008-10-04,53.625,57.28125,8.53125
2008-10-11,51.1875,59.71875,8.53125
2008-10-18,60.9375,59.71875,8.53125
2008-10-25,56.0625,58.5,7.3125
2008-11-01,53.625,57.28125,8.53125
2008-11-08,54.84375,58.5,8.53125
2008-11-15,56.0625,57.28125,7.3125
2008-11-22,57.28125,49.96875,7.3125
2008-11-29,57.28125,57.28125,8.53125
2008-12-06,57.28125,56.0625,8.53125
2008-12-13,59.71875,51.1875,8.53125
2008-12-20,58.5,39,4.875
2008-12-27,54.84375,31.6875,4.875
2009-01-03,67.03125,52.40625,8.53125
2009-01-10,67.03125,53.625,8.53125
2009-01-17,67.03125,52.40625,8.53125
2009-01-24,68.25,48.75,8.53125
2009-01-31,65.8125,53.625,8.53125
2009-02-07,69.46875,49.96875,8.53125
2009-02-14,67.03125,54.84375,8.53125
2009-02-21,74.34375,53.625,8.53125
2009-02-28,69.46875,53.625,8.53125
2009-03-07,68.25,53.625,8.53125
2009-03-14,73.125,52.40625,8.53125
2009-03-21,70.6875,53.625,8.53125
2009-03-28,70.6875,54.84375,8.53125
2009-04-04,71.90625,54.84375,8.53125
2009-04-11,69.46875,52.40625,7.3125
2009-04-18,69.46875,53.625,7.3125
2009-04-25,68.25,48.75,7.3125
2009-05-02,65.8125,48.75,8.53125
2009-05-09,67.03125,49.96875,8.53125
2009-05-16,69.46875,51.1875,7.3125
2009-05-23,69.46875,49.96875,7.3125
2009-05-30,70.6875,47.53125,8.53125
2009-06-06,70.6875,49.96875,8.53125
2009-06-13,70.6875,47.53125,8.53125
2009-06-20,70.6875,48.75,7.3125
2009-06-27,67.03125,46.3125,7.3125
2009-07-04,68.25,48.75,7.3125
2009-07-11,69.46875,46.3125,8.53125
2009-07-18,71.90625,46.3125,8.53125
2009-07-25,70.6875,45.09375,7.3125
2009-08-01,76.78125,46.3125,8.53125
2009-08-08,71.90625,45.09375,8.53125
2009-08-15,75.5625,43.875,8.53125
2009-08-22,78,46.3125,7.3125
2009-08-29,78,45.09375,7.3125
2009-09-05,78,43.875,6.09375
2009-09-12,74.34375,46.3125,8.53125
2009-09-19,71.90625,41.4375,7.3125
2009-09-26,73.125,43.875,7.3125
2009-10-03,75.5625,43.875,7.3125
2009-10-10,75.5625,43.875,7.3125
2009-10-17,71.90625,43.875,8.53125
2009-10-24,73.125,43.875,8.53125
2009-10-31,73.125,42.65625,8.53125
2009-11-07,75.5625,42.65625,8.53125
2009-11-14,81.65625,42.65625,7.3125
2009-11-21,73.125,37.78125,6.09375
2009-11-28,71.90625,41.4375,8.53125
2009-12-05,78,39,7.3125
2009-12-12,75.5625,39,7.3125
2009-12-19,73.125,31.6875,3.65625
2009-12-26,67.03125,25.59375,2.4375
2010-01-02,74.34375,39,7.3125
2010-01-09,79.21875,40.21875,7.3125
2010-01-16,80.4375,40.21875,8.53125
2010-01-23,78,41.4375,7.3125
2010-01-30,80.4375,41.4375,7.3125
2010-02-06,78,40.21875,7.3125
2010-02-13,81.65625,39,7.3125
2010-02-20,81.65625,40.21875,7.3125
2010-02-27,84.09375,43.875,8.53125
2010-03-06,82.875,41.4375,7.3125
2010-03-13,85.3125,41.4375,7.3125
2010-03-20,85.3125,39,7.3125
2010-03-27,85.3125,39,7.3125
2010-04-03,86.53125,37.78125,7.3125
2010-04-10,86.53125,39,7.3125
2010-04-17,85.3125,42.65625,7.3125
2010-04-24,86.53125,39,6.09375
2010-05-01,84.09375,36.5625,7.3125
2010-05-08,86.53125,39,7.3125
2010-05-15,87.75,40.21875,7.3125
2010-05-22,86.53125,40.21875,7.3125
2010-05-29,90.1875,36.5625,6.09375
2010-06-05,90.1875,36.5625,7.3125
2010-06-12,88.96875,36.5625,7.3125
2010-06-19,87.75,35.34375,7.3125
2010-06-26,82.875,34.125,7.3125
2010-07-03,82.875,34.125,6.09375
2010-07-10,80.4375,32.90625,7.3125
2010-07-17,84.09375,31.6875,7.3125
2010-07-24,84.09375,31.6875,6.09375
2010-07-31,87.75,34.125,8.53125
2010-08-07,85.3125,31.6875,7.3125
2010-08-14,92.625,34.125,7.3125
2010-08-21,90.1875,31.6875,7.3125
2010-08-28,85.3125,31.6875,7.3125
2010-09-04,86.53125,31.6875,7.3125
2010-09-11,87.75,32.90625,7.3125
2010-09-18,87.75,31.6875,7.3125
2010-09-25,88.96875,31.6875,7.3125
2010-10-02,91.40625,36.5625,7.3125
2010-10-09,92.625,32.90625,7.3125
2010-10-16,92.625,32.90625,7.3125
2010-10-23,92.625,32.90625,7.3125
2010-10-30,95.0625,32.90625,6.09375
2010-11-06,96.28125,32.90625,7.3125
2010-11-13,93.84375,32.90625,6.09375
2010-11-20,88.96875,29.25,6.09375
2010-11-27,96.28125,30.46875,6.09375
2010-12-04,96.28125,30.46875,6.09375
2010-12-11,93.84375,30.46875,7.3125
2010-12-18,91.40625,25.59375,4.875
2010-12-25,78,19.5,3.65625
2011-01-01,92.625,26.8125,6.09375
2011-01-08,99.9375,30.46875,6.09375
2011-01-15,99.9375,30.46875,6.09375
2011-01-22,99.9375,30.46875,6.09375
2011-01-29,99.9375,29.25,6.09375
2011-02-05,99.9375,29.25,7.3125
2011-02-12,103.59375,30.46875,7.3125
2011-02-19,102.375,29.25,7.3125
2011-02-26,108.46875,29.25,7.3125
2011-03-05,107.25,29.25,7.3125
2011-03-12,103.59375,28.03125,7.3125
2011-03-19,109.6875,29.25,7.3125
2011-03-26,109.6875,29.25,6.09375
2011-04-02,107.25,28.03125,6.09375
2011-04-09,112.125,28.03125,7.3125
2011-04-16,108.46875,26.8125,7.3125
2011-04-23,103.59375,25.59375,6.09375
2011-04-30,106.03125,25.59375,7.3125
2011-05-07,107.25,28.03125,6.09375
2011-05-14,110.90625,25.59375,7.3125
2011-05-21,109.6875,24.375,6.09375
2011-05-28,106.03125,25.59375,7.3125
2011-06-04,110.90625,25.59375,6.09375
2011-06-11,112.125,25.59375,7.3125
2011-06-18,112.125,25.59375,7.3125
2011-06-25,109.6875,25.59375,7.3125
2011-07-02,109.6875,25.59375,6.09375
2011-07-09,112.125,25.59375,7.3125
2011-07-16,110.90625,23.15625,7.3125
2011-07-23,112.125,24.375,7.3125
2011-07-30,113.34375,24.375,7.3125
2011-08-06,113.34375,23.15625,7.3125
2011-08-13,110.90625,21.9375,7.3125
2011-08-20,110.90625,21.9375,6.09375
2011-08-27,108.46875,23.15625,7.3125
2011-09-03,117,23.15625,6.09375
2011-09-10,117,24.375,6.09375
2011-09-17,112.125,23.15625,6.09375
2011-09-24,110.90625,24.375,6.09375
2011-10-01,114.5625,23.15625,6.09375
2011-10-08,119.4375,26.8125,7.3125
2011-10-15,115.78125,26.8125,6.09375
2011-10-22,119.4375,25.59375,6.09375
2011-10-29,117,23.15625,6.09375
2011-11-05,114.5625,25.59375,6.09375
2011-11-12,120.65625,25.59375,7.3125
2011-11-19,119.4375,21.9375,4.875
2011-11-26,121.875,24.375,6.09375
2011-12-03,119.4375,23.15625,6.09375
2011-12-10,119.4375,21.9375,6.09375
2011-12-17,108.46875,19.5,4.875
2011-12-24,91.40625,14.625,2.4375
2011-12-31,104.8125,18.28125,4.875
2011-12-31,104,18.0869565217,4.5217391304
2012-01-07,115.3043478261,22.6086956522,6.7826086957
2012-01-14,113.0434782609,20.347826087,6.7826086957
2012-01-21,144.6956521739,20.347826087,6.7826086957
2012-01-28,119.8260869565,20.347826087,6.7826086957
2012-02-04,124.347826087,22.6086956522,6.7826086957
2012-02-11,122.0869565217,22.6086956522,6.7826086957
2012-02-18,119.8260869565,20.347826087,6.7826086957
2012-02-25,124.347826087,22.6086956522,6.7826086957
2012-03-03,122.0869565217,20.347826087,6.7826086957
2012-03-10,119.8260869565,20.347826087,6.7826086957
2012-03-17,119.8260869565,20.347826087,6.7826086957
2012-03-24,122.0869565217,22.6086956522,6.7826086957
